PublicationDate,RegistrationNumber,DesignCurrentStatusCode,ViewNumber
2016-06-03,20161235,Registered,981544
2016-06-03,20161242,Registered,981169
2016-06-03,20161242,Registered,981170
2016-06-03,20161264,Registered,981315
2016-06-03,20161264,Registered,981316
2016-06-03,20161264,Registered,981317
2016-06-03,20161264,Registered,981318;981319
2016-06-03,20161273,Registered,981702
2016-06-03,20161301,Registered,981182
2016-06-03,20161301,Registered,981183
2016-06-03,20161301,Registered,981184
2016-06-03,20161301,Registered,981185
2016-06-03,20161301,Registered,981186
2016-06-03,20161306,Registered,981703
2016-06-03,20161310,Registered,981320
2016-06-03,20161310,Registered,981321
2016-06-03,20161310,Registered,981322
2016-06-03,20161310,Registered,981323
2016-06-03,20161310,Registered,981324;981325
2016-06-03,20161310,Registered,981326
2016-06-03,20161310,Registered,981327
2016-06-03,20161311,Registered,981458
2016-06-03,20161313,Registered,980982;980983;980984
2016-06-03,20161314,Registered,980985;980986
2016-06-03,20161316,Registered,981464
2016-06-03,20161321,Registered,981704
2016-06-03,20161322,Registered,980885;980886;980887;980888;980889
2016-06-03,20161322,Registered,980890;980891;980892;980893;980894
2016-06-03,20161323,Registered,981705
2016-06-03,20161329,Registered,981706
2016-06-03,20161337,Registered,981707
2016-06-03,20161340,Registered,981708
2016-06-03,20161340,Registered,981709
2016-06-03,20161340,Registered,981710
2016-06-03,20161340,Registered,981711
2016-06-03,20161340,Registered,981712
2016-06-03,20161340,Registered,981713
2016-06-03,20161340,Registered,981714
2016-06-03,20161340,Registered,981715
2016-06-03,20161340,Registered,981716
2016-06-03,20161340,Registered,981717
2016-06-03,20161369,Registered,981718
2016-06-03,20161374,Registered,981719;981720
2016-06-03,20161401,Registered,981721
2016-06-03,20161405,Registered,981722
2016-06-03,20161407,Registered,981723
2016-06-03,20161408,Registered,981724
2016-06-03,20161408,Registered,981725
2016-06-03,20161418,Registered,981726
2016-06-03,20161420,Registered,981296
2016-06-03,20161426,Registered,981482
2016-06-03,20161432,Registered,981545;981546
2016-06-03,20161432,Registered,981547;981548
2016-06-03,20161432,Registered,981549;981550
2016-06-03,20161432,Registered,981551;981552
2016-06-03,20161432,Registered,981553
2016-06-03,20161432,Registered,981554
2016-06-03,20161434,Registered,981727
2016-06-03,20161438,Registered,981459
2016-06-03,20161438,Registered,981460
2016-06-03,20161440,Registered,980987
2016-06-03,20161440,Registered,980988
2016-06-03,20161440,Registered,980989
2016-06-03,20161440,Registered,980990;980991
2016-06-03,20161440,Registered,980992
2016-06-03,20161470,Registered,981728
2016-06-03,20161483,Registered,980993;980994
2016-06-03,20161483,Registered,980995
2016-06-03,20161503,Registered,981729
2016-06-03,20161504,Registered,981198;981199
2016-06-03,20161511,Registered,981730
2016-06-03,20161512,Registered,980773
2016-06-03,20161523,Registered,981410;981411
2016-06-03,20161524,Registered,981731
2016-06-03,20161529,Registered,981732
2016-06-03,20161529,Registered,981733
2016-06-03,20161529,Registered,981734
2016-06-03,20161530,Registered,981735
2016-06-03,20161539,Registered,981736
2016-06-03,20161542,Registered,981737
2016-06-03,20161589,Registered,981328
2016-06-03,20161589,Registered,981329
2016-06-03,20161589,Registered,981330
2016-06-03,20161590,Registered,980941;980942
2016-06-03,20161596,Registered,981738
2016-06-03,20161596,Registered,981739
2016-06-03,20161601,Registered,981751
2016-06-03,20161601,Registered,981752
2016-06-03,20161601,Registered,981753
2016-06-03,20161601,Registered,981754
2016-06-03,20161601,Registered,981755
2016-06-03,20161606,Registered,981740
2016-06-03,20161607,Registered,981741
2016-06-03,20161607,Registered,981742
2016-06-03,20161607,Registered,981743
2016-06-03,20161607,Registered,981744
2016-06-03,20161607,Registered,981745
2016-06-03,20161607,Registered,981746
2016-06-03,20161607,Registered,981747
2016-06-03,20161607,Registered,981748
2016-06-03,20161607,Registered,981749
2016-06-03,20161607,Registered,981750
2016-06-03,20161610,Registered,981424
2016-06-03,20161621,Registered,981756
2016-06-03,20161624,Registered,981757
2016-06-03,20161626,Registered,981758
2016-06-03,20161631,Registered,981426
2016-06-03,20161632,Registered,980996
2016-06-03,20161637,Registered,981469
2016-06-03,20161659,Registered,981331;981332;981333
2016-06-03,20161660,Registered,981334;981335;981336
2016-06-03,20161661,Registered,981337;981338;981339
2016-06-03,20161683,Registered,981474
2016-06-03,20161702,Registered,981200;981201;981202;981203;981204
2016-06-03,20161744,Registered,981171
2016-06-03,20161744,Registered,981172
2016-06-03,20161744,Registered,981173
2016-06-03,20161753,Registered,981412
2016-06-03,20161807,Registered,981260;981261;981262
2016-06-03,20161841,Registered,981421;981422;981423
2016-06-03,20161851,Registered,980895
2016-06-03,20161851,Registered,980896
2016-06-03,20161851,Registered,980897
2016-06-03,20161851,Registered,980898
2016-06-03,20161851,Registered,980899
2016-06-03,20161851,Registered,980900
2016-06-03,20161851,Registered,980901
2016-06-03,20161851,Registered,980902
2016-06-03,20161851,Registered,980903
2016-06-03,20161851,Registered,980904
2016-06-03,20161851,Registered,980905
2016-06-03,20161851,Registered,980906
2016-06-03,20161851,Registered,980907
2016-06-03,20161851,Registered,980908
2016-06-03,20161851,Registered,980909
2016-06-03,20161851,Registered,980910
2016-06-03,20161851,Registered,980911
2016-06-03,20161851,Registered,980912
2016-06-03,20161851,Registered,980913
2016-06-03,20161851,Registered,980914
2016-06-03,20161851,Registered,980915;980916
2016-06-03,20161851,Registered,981297
2016-06-03,20161851,Registered,980917
2016-06-03,20161851,Registered,980918
2016-06-03,20161851,Registered,980919
2016-06-03,20161851,Registered,980920
2016-06-03,20161851,Registered,980921
2016-06-03,20161851,Registered,980922
2016-06-03,20161851,Registered,980923
2016-06-03,20161851,Registered,980924
2016-06-03,20161851,Registered,980925
2016-06-03,20161851,Registered,980926
2016-06-03,20161851,Registered,980927
2016-06-03,20161851,Registered,980928
2016-06-03,20161851,Registered,980929
2016-06-03,20161851,Registered,980930
2016-06-03,20161851,Registered,980931
2016-06-03,20161851,Registered,980932
2016-06-03,20161851,Registered,980933
2016-06-03,20161851,Registered,980934
2016-06-03,20161851,Registered,980935
2016-06-03,20161851,Registered,980936
2016-06-03,20161851,Registered,980937
2016-06-03,20161851,Registered,980938
2016-06-03,20161851,Registered,980939
2016-06-03,20161855,Registered,981760
2016-06-03,20161860,Registered,981759
2016-06-03,20161868,Registered,981340
2016-06-03,20161868,Registered,981341
2016-06-03,20161868,Registered,981342
2016-06-03,20161868,Registered,981343
2016-06-03,20161868,Registered,981344
2016-06-03,20161898,Registered,981761
2016-06-03,20161899,Registered,981489
2016-06-03,20161901,Registered,981762
2016-06-03,20161904,Registered,981205;981206;981207;981208
2016-06-03,20161904,Registered,981209;981210;981211;981212;981213
2016-06-03,20161904,Registered,981214;981215;981216
2016-06-03,20161904,Registered,981217;981218
2016-06-03,20161904,Registered,981219;981220
2016-06-03,20161904,Registered,981221;981222
2016-06-03,20161904,Registered,981223;981224
2016-06-03,20161904,Registered,981225;981226;981227
2016-06-03,20161904,Registered,981228
2016-06-03,20161904,Registered,981229
2016-06-03,20161904,Registered,981230
2016-06-03,20161912,Registered,981438
2016-06-03,20161948,Registered,981253
2016-06-03,20161953,Registered,981131
2016-06-03,20161953,Registered,981164
2016-06-03,20161953,Registered,981132
2016-06-03,20161953,Registered,981072
2016-06-03,20161953,Registered,981073
2016-06-03,20161958,Registered,981490;981491;981492
2016-06-03,20161958,Registered,981493;981494
2016-06-03,20161976,Registered,981349;981350;981351;981352;981353;981354;981355;981356;981357;981358
2016-06-03,20161978,Registered,981763
2016-06-03,20161978,Registered,981764
2016-06-03,20161978,Registered,981765
2016-06-03,20161978,Registered,981766
2016-06-03,20161978,Registered,981767
2016-06-03,20161978,Registered,981768
2016-06-03,20161978,Registered,981769
2016-06-03,20161980,Registered,981481
2016-06-03,20161981,Registered,980997;980998;980999;981000;981001;981002;981003
2016-06-03,20161981,Registered,981004;981005;981006;981007;981008;981009;981010
2016-06-03,20162088,Registered,981604
2016-06-03,20162089,Registered,981439
2016-06-03,20162089,Registered,981440
2016-06-03,20162097,Registered,981031
2016-06-03,20162097,Registered,981078
